date,run_utc,found,classified,asylum
2026-03-18,02:56:30,0,0,0
2026-03-18,04:26:03,2,2,0
2026-03-18,09:51:34,500,419,111
2026-03-18,13:04:58,500,0,0
2026-03-18,16:56:43,500,0,0
2026-03-18,20:37:26,500,0,0
2026-03-19,02:03:19,500,0,0
2026-03-19,03:27:56,500,0,0
2026-03-19,03:40:47,0,0,0
2026-03-19,04:30:42,500,497,86
2026-03-19,06:08:29,500,495,92
2026-03-19,09:30:47,500,494,80
2026-03-19,13:50:15,500,499,115
2026-03-19,17:54:50,500,498,133
2026-03-19,21:21:22,500,495,125
2026-03-20,02:43:21,500,494,112
2026-03-20,06:00:36,500,497,115
2026-03-20,09:26:35,500,496,160
2026-03-20,13:48:38,500,495,193
2026-03-20,19:34:22,500,498,134
2026-03-20,21:16:49,500,498,146
2026-03-20,23:28:35,500,496,152
2026-03-21,02:08:47,500,48,9
2026-03-21,05:07:07,500,0,0
2026-03-21,06:47:02,500,16,4
2026-03-21,06:52:54,500,30,11
2026-03-21,08:38:03,500,31,16
2026-03-21,10:29:27,500,14,1
2026-03-21,12:52:11,500,0,0
2026-03-21,14:28:27,500,0,0
2026-03-21,16:31:40,500,0,0
2026-03-21,18:38:15,500,0,0
